term,weight
reuters,-10.397564758412
politicsnews,-8.66587745560163
worldnews,-6.555175850425672
said,-3.8783430941983097
washington reuters,-3.092980775798661
politicsnews reuters,-2.9819206844432102
politicsnews washington,-2.9238447228986653
president donald,-1.7530272211329152
reuters president,-1.6593126642707225
nov,-1.4567494371072658
york reuters,-1.4484400733059621
politicsnews new,-1.4301858817485742
news conference,-1.3292059120710116
wednesday,-1.2822846683452955
president barack,-1.2529930694119988
factbox,-1.1983421332849078
thursday,-1.1325347989980281
tuesday,-1.0963589055323542
saying,-1.0791960993383491
republican,-1.0731614363128237
